thresholds,documentCount,expectedLayer,actualLayer,match
50/200,0,1,1,1
50/200,1,1,1,1
50/200,49,1,1,1
50/200,50,2,2,1
50/200,51,2,2,1
50/200,125,2,2,1
50/200,199,2,2,1
50/200,200,3,3,1
50/200,201,3,3,1
50/200,250,3,3,1
5/20,0,1,1,1
5/20,1,1,1,1
5/20,4,1,1,1
5/20,5,2,2,1
5/20,6,2,2,1
5/20,12,2,2,1
5/20,19,2,2,1
5/20,20,3,3,1
5/20,21,3,3,1
5/20,70,3,3,1
25/100,0,1,1,1
25/100,1,1,1,1
25/100,24,1,1,1
25/100,25,2,2,1
25/100,26,2,2,1
25/100,62,2,2,1
25/100,99,2,2,1
25/100,100,3,3,1
25/100,101,3,3,1
25/100,150,3,3,1
